date,stadium,home,away,home_rank,home_wpct,home_gb,home_streak,home_last10,home_games,away_rank,away_wpct,away_gb,away_streak,away_last10,away_games,gb_from_playoff_line,season_progress
2021-04-03,고척,키움,삼성,,,,0,,0,,,,0,,0,,0.0
2021-04-03,문학,SSG,롯데,,,,0,,0,,,,0,,0,,0.0
2021-04-03,수원,KT,한화,,,,0,,0,,,,0,,0,,0.0
2021-04-03,잠실,두산,KIA,,,,0,,0,,,,0,,0,,0.0
2021-04-03,창원,NC,LG,,,,0,,0,,,,0,,0,,0.0
2021-04-04,고척,키움,삼성,1,1.0,0.0,1,1,1,2,0.0,1.0,-1,0,1,-0.5,0.001
2021-04-04,문학,SSG,롯데,3,,0.5,0,,0,4,,0.5,0,,0,,0.001
2021-04-04,수원,KT,한화,5,,0.5,0,,0,6,,0.5,0,,0,,0.001
2021-04-04,잠실,두산,KIA,7,,0.5,0,,0,8,,0.5,0,,0,,0.001
2021-04-04,창원,NC,LG,9,,0.5,0,,0,10,,0.5,0,,0,,0.001
2021-04-06,고척,키움,KIA,1,1.0,0.0,2,2,2,9,0.0,1.5,-1,0,1,-0.5,0.008
2021-04-06,문학,SSG,한화,2,1.0,0.5,1,1,1,8,0.0,1.5,-1,0,1,0.0,0.008
2021-04-06,수원,KT,LG,3,1.0,0.5,1,1,1,5,1.0,0.5,1,1,1,0.0,0.008
2021-04-06,잠실,두산,삼성,4,1.0,0.5,1,1,1,6,0.0,2.0,-2,0,2,0.0,0.008
2021-04-06,창원,NC,롯데,10,0.0,1.5,-1,0,1,7,0.0,1.5,-1,0,1,1.0,0.008
2021-04-07,고척,키움,KIA,4,0.667,0.5,-1,2,3,7,0.5,1.0,1,1,2,-0.5,0.015
2021-04-07,문학,SSG,한화,1,1.0,0.0,2,2,2,9,0.0,2.0,-2,0,2,-1.0,0.015
2021-04-07,수원,KT,LG,6,0.5,1.0,-1,1,2,3,1.0,0.0,2,2,2,0.0,0.015
2021-04-07,잠실,두산,삼성,2,1.0,0.0,2,2,2,8,0.0,2.5,-3,0,3,-1.0,0.015
2021-04-07,창원,NC,롯데,10,0.0,2.0,-2,0,2,5,0.5,1.0,1,1,2,1.0,0.015
2021-04-08,고척,키움,KIA,6,0.5,1.5,-2,2,4,4,0.667,1.0,2,2,3,0.5,0.022
2021-04-08,문학,SSG,한화,2,0.667,1.0,-1,2,3,8,0.333,2.0,1,1,3,0.0,0.022
2021-04-08,수원,KT,LG,3,0.667,1.0,1,2,3,5,0.667,1.0,-1,2,3,0.0,0.022
2021-04-08,잠실,두산,삼성,1,1.0,0.0,3,3,3,10,0.0,3.5,-4,0,4,-1.0,0.022
2021-04-08,창원,NC,롯데,9,0.333,2.0,1,1,3,7,0.333,2.0,-1,1,3,1.0,0.022
2021-04-09,광주,KIA,NC,3,0.75,0.0,3,3,4,9,0.25,2.0,-1,1,4,-1.0,0.029
2021-04-09,대구,삼성,KT,10,0.2,2.5,1,1,5,6,0.5,1.0,-1,2,4,1.5,0.029
2021-04-09,사직,롯데,키움,5,0.5,1.0,1,2,4,7,0.4,1.5,-3,2,5,0.0,0.029
2021-04-09,잠실,LG,SSG,4,0.75,0.0,1,3,4,1,0.75,0.0,1,3,4,-1.0,0.029
2021-04-09,한밭,한화,두산,8,0.25,2.0,-1,1,4,2,0.75,0.0,-1,3,4,1.0,0.029
2021-04-10,광주,KIA,NC,4,0.6,1.0,-1,3,5,9,0.4,2.0,1,2,5,-0.5,0.036
2021-04-10,대구,삼성,KT,10,0.333,2.5,2,2,6,7,0.4,2.0,-2,2,5,1.0,0.036
2021-04-10,사직,롯데,키움,6,0.4,2.0,-1,2,5,5,0.5,1.5,1,3,6,0.5,0.036
2021-04-10,잠실,LG,SSG,1,0.8,0.0,2,4,5,2,0.6,1.0,-1,3,5,-1.5,0.036
2021-04-10,한밭,한화,두산,8,0.4,2.0,1,2,5,3,0.6,1.0,-2,3,5,0.5,0.036
2021-04-11,광주,KIA,NC,5,0.5,1.0,-2,3,6,6,0.5,1.0,2,3,6,0.0,0.043
2021-04-11,대구,삼성,KT,8,0.429,1.5,3,3,7,9,0.333,2.0,-3,2,6,0.5,0.043
2021-04-11,사직,롯데,키움,4,0.5,1.0,1,3,6,7,0.429,1.5,-1,3,7,0.0,0.043
2021-04-11,잠실,LG,SSG,3,0.667,0.0,-1,4,6,1,0.667,0.0,1,4,6,-1.0,0.043
2021-04-11,한밭,한화,두산,10,0.333,2.0,-1,2,6,2,0.667,0.0,1,4,6,1.0,0.043
2021-04-13,고척,키움,LG,5,0.5,1.5,1,4,8,1,0.714,0.0,1,5,7,0.0,0.05
2021-04-13,광주,KIA,롯데,9,0.429,2.0,-3,3,7,7,0.429,2.0,-1,3,7,0.5,0.05
2021-04-13,대구,삼성,한화,6,0.5,1.5,4,4,8,8,0.429,2.0,1,3,7,0.0,0.05
2021-04-13,문학,SSG,NC,2,0.571,1.0,-1,4,7,4,0.571,1.0,3,4,7,-0.5,0.05
2021-04-13,잠실,두산,KT,3,0.571,1.0,-1,4,7,10,0.286,3.0,-4,2,7,-0.5,0.05
2021-04-14,고척,키움,LG,3,0.556,0.5,2,5,9,2,0.625,0.0,-1,5,8,-0.5,0.057
2021-04-14,광주,KIA,롯데,10,0.375,2.0,-4,3,8,6,0.5,1.0,1,4,8,1.0,0.057
2021-04-14,대구,삼성,한화,4,0.556,0.5,5,5,9,9,0.375,2.0,-1,3,8,-0.5,0.057
2021-04-14,문학,SSG,NC,5,0.5,1.0,-2,4,8,1,0.625,0.0,4,5,8,0.0,0.057
2021-04-14,잠실,두산,KT,7,0.5,1.0,-2,4,8,8,0.375,2.0,1,3,8,0.0,0.057
2021-04-15,고척,키움,LG,4,0.5,1.5,-1,5,10,2,0.667,0.0,1,6,9,0.0,0.064
2021-04-15,광주,KIA,롯데,9,0.444,2.0,1,4,9,7,0.444,2.0,-1,4,9,0.5,0.064
2021-04-15,대구,삼성,한화,5,0.5,1.5,-1,5,10,8,0.444,2.0,1,4,9,0.0,0.064
2021-04-15,문학,SSG,NC,6,0.444,2.0,-3,4,9,1,0.667,0.0,5,6,9,0.5,0.064
2021-04-15,잠실,두산,KT,3,0.556,1.0,1,5,9,10,0.333,3.0,-1,3,9,-0.5,0.064
2021-04-16,문학,SSG,KIA,4,0.5,2.0,1,5,10,6,0.5,2.0,2,5,10,0.0,0.071
2021-04-16,사직,롯데,삼성,8,0.4,3.0,-2,4,10,3,0.545,1.5,1,6,11,1.0,0.071
2021-04-16,수원,KT,키움,9,0.4,3.0,1,4,10,7,0.455,2.5,-2,4,11,1.0,0.071
2021-04-16,잠실,LG,두산,1,0.7,0.0,2,7,10,5,0.5,2.0,-1,5,10,-2.0,0.071
2021-04-16,창원,NC,한화,2,0.6,1.0,-1,6,10,10,0.4,3.0,-1,4,10,-1.0,0.071
2021-04-17,문학,SSG,KIA,5,0.455,3.0,-1,4,11,3,0.545,2.0,3,6,11,0.0,0.078
2021-04-17,사직,롯데,삼성,6,0.455,3.0,1,5,11,4,0.5,2.5,-1,6,12,0.0,0.078
2021-04-17,수원,KT,키움,7,0.455,3.0,2,4,11,9,0.417,3.5,-3,3,12,0.0,0.078
2021-04-17,잠실,LG,두산,1,0.727,0.0,3,7,11,8,0.455,3.0,-2,4,11,-3.0,0.078
2021-04-17,창원,NC,한화,2,0.636,1.0,1,7,11,10,0.364,4.0,-2,4,11,-2.0,0.078
2021-04-18,문학,SSG,KIA,4,0.5,2.0,1,4,12,7,0.5,2.0,-1,5,12,0.0,0.085
2021-04-18,사직,롯데,삼성,8,0.417,3.0,-1,4,12,3,0.538,1.5,1,7,13,1.0,0.085
2021-04-18,수원,KT,키움,5,0.5,2.0,3,5,12,9,0.385,3.5,-4,3,13,0.0,0.085
2021-04-18,잠실,LG,두산,2,0.667,0.0,-1,6,12,6,0.5,2.0,1,4,12,-2.0,0.085
2021-04-18,창원,NC,한화,1,0.667,0.0,2,8,12,10,0.333,4.0,-3,4,12,-2.0,0.085
2021-04-20,대구,삼성,SSG,3,0.571,0.5,2,8,14,4,0.538,1.0,2,5,13,-0.5,0.092
2021-04-20,사직,롯데,두산,8,0.385,3.0,-2,4,13,6,0.538,1.0,2,4,13,2.0,0.092
2021-04-20,잠실,LG,KIA,2,0.615,0.0,-2,6,13,7,0.462,2.0,-2,4,13,-1.0,0.092
2021-04-20,창원,NC,KT,1,0.615,0.0,-1,7,13,5,0.538,1.0,4,5,13,-1.0,0.092
2021-04-20,한밭,한화,키움,9,0.385,3.0,1,4,13,10,0.357,3.5,-5,3,14,2.0,0.092
2021-04-21,대구,삼성,SSG,5,0.533,0.5,-1,7,15,1,0.571,0.0,3,5,14,0.0,0.099
2021-04-21,사직,롯데,두산,8,0.429,2.0,1,4,14,6,0.5,1.0,-1,4,14,1.5,0.099
2021-04-21,잠실,LG,KIA,4,0.571,0.0,-3,5,14,7,0.5,1.0,1,4,14,-0.5,0.099
2021-04-21,창원,NC,KT,3,0.571,0.0,-2,7,14,2,0.571,0.0,5,6,14,-0.5,0.099
2021-04-21,한밭,한화,키움,9,0.429,2.0,2,5,14,10,0.333,3.5,-6,3,15,1.5,0.099
2021-04-22,대구,삼성,SSG,3,0.562,0.5,1,7,16,4,0.533,1.0,-1,5,15,-0.5,0.106
2021-04-22,사직,롯데,두산,6,0.467,2.0,2,5,15,8,0.467,2.0,-2,4,15,1.0,0.106
2021-04-22,잠실,LG,KIA,2,0.6,0.0,1,5,15,9,0.467,2.0,-1,4,15,-1.0,0.106
2021-04-22,창원,NC,KT,1,0.6,0.0,1,7,15,5,0.533,1.0,-1,6,15,-1.0,0.106
2021-04-22,한밭,한화,키움,7,0.467,2.0,3,5,15,10,0.312,4.5,-7,2,16,1.0,0.106
2021-04-23,고척,키움,SSG,10,0.353,3.5,1,3,17,1,0.562,0.0,1,5,16,3.0,0.113
2021-04-23,광주,KIA,삼성,7,0.5,1.0,1,5,16,5,0.529,0.5,-1,6,17,0.5,0.113
2021-04-23,수원,KT,롯데,2,0.562,0.0,1,7,16,8,0.438,2.0,-1,4,16,-0.5,0.113
2021-04-23,잠실,두산,NC,6,0.5,1.0,1,4,16,3,0.562,0.0,-1,6,16,0.5,0.113
2021-04-23,한밭,한화,LG,9,0.438,2.0,-1,5,16,4,0.562,0.0,-1,5,16,1.5,0.113
2021-04-24,고척,키움,SSG,10,0.333,4.5,-1,2,18,1,0.588,0.0,2,6,17,3.5,0.119
2021-04-24,광주,KIA,삼성,5,0.529,1.0,2,6,17,7,0.5,1.5,-2,5,18,0.0,0.119
2021-04-24,수원,KT,롯데,3,0.529,1.0,-1,7,17,8,0.471,2.0,1,5,17,0.0,0.119
2021-04-24,잠실,두산,NC,4,0.529,1.0,2,5,17,6,0.529,1.0,-2,5,17,0.0,0.119
2021-04-24,한밭,한화,LG,9,0.412,3.0,-2,4,17,2,0.588,0.0,1,5,17,2.0,0.119
2021-04-25,고척,키움,SSG,10,0.316,5.5,-2,1,19,1,0.611,0.0,3,7,18,3.5,0.126
2021-04-25,광주,KIA,삼성,7,0.5,2.0,-1,6,18,4,0.526,1.5,1,5,19,0.0,0.126
2021-04-25,수원,KT,롯데,6,0.5,2.0,-2,6,18,5,0.5,2.0,2,5,18,0.0,0.126
2021-04-25,잠실,두산,NC,2,0.556,1.0,3,6,18,8,0.5,2.0,-3,4,18,-1.0,0.126
2021-04-25,한밭,한화,LG,9,0.444,3.0,1,5,18,3,0.556,1.0,-1,5,18,1.0,0.126
2021-04-27,고척,키움,두산,10,0.35,4.5,1,2,20,5,0.526,1.0,-1,5,19,3.5,0.133
2021-04-27,광주,KIA,한화,8,0.474,2.0,-2,5,19,9,0.421,3.0,-1,4,19,1.0,0.133
2021-04-27,대구,삼성,NC,3,0.55,0.5,2,6,20,6,0.526,1.0,1,4,19,-0.5,0.133
2021-04-27,문학,SSG,KT,1,0.579,0.0,-1,7,19,4,0.526,1.0,1,7,19,-1.0,0.133
2021-04-27,잠실,LG,롯데,2,0.579,0.0,1,5,19,7,0.474,2.0,-1,5,19,-1.0,0.133
2021-04-28,고척,키움,두산,10,0.381,4.5,2,3,21,5,0.5,2.0,-2,5,20,2.5,0.14
2021-04-28,광주,KIA,한화,6,0.5,2.0,1,5,20,9,0.4,4.0,-2,4,20,0.0,0.14
2021-04-28,대구,삼성,NC,2,0.571,0.5,3,6,21,7,0.5,2.0,-1,4,20,-1.5,0.14
2021-04-28,문학,SSG,KT,3,0.55,1.0,-2,6,20,4,0.55,1.0,2,7,20,-1.0,0.14
2021-04-28,잠실,LG,롯데,1,0.6,0.0,2,5,20,8,0.45,3.0,-2,5,20,-2.0,0.14
2021-04-29,고척,키움,두산,9,0.409,4.0,3,4,22,7,0.476,2.5,-3,5,21,2.5,0.147
2021-04-29,광주,KIA,한화,5,0.524,1.5,2,5,21,10,0.381,4.5,-3,4,21,0.0,0.147
2021-04-29,대구,삼성,NC,1,0.591,0.0,4,7,22,8,0.476,2.5,-2,3,21,-1.5,0.147
2021-04-29,문학,SSG,KT,2,0.571,0.5,1,7,21,4,0.524,1.5,-1,6,21,-1.0,0.147
2021-04-29,잠실,LG,롯데,3,0.571,0.5,-1,4,21,6,0.476,2.5,1,5,21,-1.0,0.147
2021-04-30,대구,삼성,LG,2,0.565,0.5,-1,6,23,1,0.591,0.0,1,5,22,-0.5,0.154
2021-04-30,사직,롯데,한화,8,0.455,3.0,-1,5,22,10,0.364,5.0,-4,4,22,2.0,0.154
2021-04-30,수원,KT,KIA,4,0.545,1.0,1,6,22,5,0.545,1.0,3,6,22,0.0,0.154
2021-04-30,잠실,두산,SSG,6,0.5,2.0,1,5,22,3,0.545,1.0,-1,6,22,1.0,0.154
2021-04-30,창원,NC,키움,7,0.5,2.0,1,3,22,9,0.391,4.5,-1,4,23,1.0,0.154
2021-05-01,대구,삼성,LG,1,0.583,0.0,1,6,24,3,0.565,0.5,-1,5,23,-1.5,0.161
2021-05-01,사직,롯데,한화,8,0.435,3.5,-2,5,23,10,0.391,4.5,1,4,23,2.0,0.161
2021-05-01,수원,KT,KIA,2,0.565,0.5,2,6,23,6,0.522,1.5,-1,6,23,-1.0,0.161
2021-05-01,잠실,두산,SSG,5,0.522,1.5,2,5,23,4,0.522,1.5,-2,5,23,0.0,0.161
2021-05-01,창원,NC,키움,7,0.478,2.5,-1,3,23,9,0.417,4.0,1,5,24,1.0,0.161
2021-05-02,대구,삼성,LG,1,0.6,0.0,2,7,25,4,0.542,1.5,-2,5,24,-2.5,0.168
2021-05-02,사직,롯데,한화,9,0.417,4.5,-3,4,24,10,0.417,4.5,2,4,24,2.0,0.168
2021-05-02,수원,KT,KIA,2,0.583,0.5,3,6,24,6,0.5,2.5,-2,5,24,-2.0,0.168
2021-05-02,잠실,두산,SSG,5,0.5,2.5,-1,5,24,3,0.542,1.5,1,5,24,0.0,0.168
2021-05-02,창원,NC,키움,7,0.458,3.5,-2,3,24,8,0.44,4.0,2,6,25,1.0,0.168
2021-05-04,고척,키움,KT,9,0.423,5.0,-1,6,26,2,0.6,0.5,4,7,25,2.5,0.175
2021-05-04,사직,롯데,KIA,10,0.4,5.5,-4,3,25,6,0.48,3.5,-3,5,25,3.0,0.175
2021-05-04,잠실,두산,LG,4,0.52,2.5,1,6,25,5,0.52,2.5,-3,4,25,0.0,0.175
2021-05-04,창원,NC,SSG,7,0.48,3.5,1,3,25,3,0.52,2.5,-1,5,25,1.0,0.175
2021-05-04,한밭,한화,삼성,8,0.44,4.5,3,4,25,1,0.615,0.0,3,7,26,2.0,0.175
2021-05-05,고척,키움,KT,9,0.423,5.0,-1,6,26,2,0.6,0.5,4,7,25,2.5,0.175
2021-05-05,사직,롯데,KIA,10,0.4,5.5,-4,3,25,6,0.48,3.5,-3,5,25,3.0,0.175
2021-05-05,잠실,두산,LG,4,0.52,2.5,1,6,25,5,0.52,2.5,-3,4,25,0.0,0.175
2021-05-05,창원,NC,SSG,7,0.48,3.5,1,3,25,3,0.52,2.5,-1,5,25,1.0,0.175
2021-05-05,한밭,한화,삼성,8,0.44,4.5,3,4,25,1,0.615,0.0,3,7,26,2.0,0.175
2021-05-06,고척,키움,KT,8,0.444,5.0,1,6,27,2,0.577,1.5,-1,6,26,1.5,0.182
2021-05-06,사직,롯데,KIA,10,0.385,6.5,-5,3,26,6,0.5,3.5,1,5,26,3.0,0.182
2021-05-06,잠실,두산,LG,5,0.5,3.5,-1,5,26,4,0.538,2.5,1,5,26,0.0,0.182
2021-05-06,창원,NC,SSG,7,0.462,4.5,-1,3,26,3,0.538,2.5,1,5,26,1.0,0.182
2021-05-06,한밭,한화,삼성,9,0.423,5.5,-1,4,26,1,0.63,0.0,4,8,27,2.0,0.182
2021-05-07,광주,KIA,두산,6,0.481,3.5,-1,4,27,5,0.481,3.5,-2,4,27,0.0,0.189
2021-05-07,대구,삼성,롯데,1,0.607,0.0,-1,8,28,10,0.407,5.5,1,3,27,-3.5,0.189
2021-05-07,문학,SSG,키움,4,0.519,2.5,-1,4,27,8,0.464,4.0,2,7,28,-1.0,0.189
2021-05-07,수원,KT,NC,2,0.556,1.5,-2,6,27,7,0.481,3.5,1,4,27,-2.0,0.189
2021-05-07,잠실,LG,한화,3,0.556,1.5,2,5,27,9,0.444,4.5,1,5,27,-2.0,0.189
2021-05-08,광주,KIA,두산,6,0.481,4.0,-1,4,27,5,0.481,4.0,-2,4,27,0.0,0.19
2021-05-08,광주,KIA,두산,6,0.481,4.0,-1,4,27,5,0.481,4.0,-2,4,27,0.0,0.19
2021-05-08,대구,삼성,롯데,1,0.621,0.0,1,8,29,10,0.393,6.5,-1,2,28,-4.0,0.19
2021-05-08,문학,SSG,키움,4,0.519,3.0,-1,4,27,8,0.464,4.5,2,7,28,-1.0,0.19
2021-05-08,문학,SSG,키움,4,0.519,3.0,-1,4,27,8,0.464,4.5,2,7,28,-1.0,0.19
2021-05-08,수원,KT,NC,2,0.556,2.0,-2,6,27,7,0.481,4.0,1,4,27,-2.0,0.19
2021-05-08,수원,KT,NC,2,0.556,2.0,-2,6,27,7,0.481,4.0,1,4,27,-2.0,0.19
2021-05-08,잠실,LG,한화,3,0.556,2.0,2,5,27,9,0.444,5.0,1,5,27,-2.0,0.19
2021-05-08,잠실,LG,한화,3,0.556,2.0,2,5,27,9,0.444,5.0,1,5,27,-2.0,0.19
2021-05-09,광주,KIA,두산,8,0.464,4.0,-2,4,28,5,0.5,3.0,1,4,28,1.0,0.197
2021-05-09,광주,KIA,두산,8,0.464,4.0,-2,4,28,5,0.5,3.0,1,4,28,1.0,0.197
2021-05-09,대구,삼성,롯데,1,0.6,0.0,-1,7,30,10,0.414,5.5,1,3,29,-3.0,0.197
2021-05-09,문학,SSG,키움,4,0.5,3.0,-2,3,28,7,0.483,3.5,3,8,29,0.0,0.197
2021-05-09,문학,SSG,키움,4,0.5,3.0,-2,3,28,7,0.483,3.5,3,8,29,0.0,0.197
2021-05-09,수원,KT,NC,3,0.536,2.0,-3,6,28,6,0.5,3.0,2,5,28,-1.0,0.197
2021-05-09,수원,KT,NC,3,0.536,2.0,-3,6,28,6,0.5,3.0,2,5,28,-1.0,0.197
2021-05-09,잠실,LG,한화,2,0.571,1.0,3,6,28,9,0.429,5.0,-1,4,28,-2.0,0.197
2021-05-09,잠실,LG,한화,2,0.571,1.0,3,6,28,9,0.429,5.0,-1,4,28,-2.0,0.197
2021-05-11,광주,KIA,LG,9,0.433,5.5,-4,3,30,2,0.567,1.5,-1,5,30,3.0,0.21
2021-05-11,사직,롯데,SSG,10,0.4,6.5,-1,3,30,3,0.533,2.5,2,5,30,4.0,0.21
2021-05-11,수원,KT,삼성,4,0.533,2.5,1,5,30,1,0.613,0.0,1,7,31,0.0,0.21
2021-05-11,잠실,두산,키움,5,0.533,2.5,3,6,30,7,0.452,5.0,-2,6,31,0.0,0.21
2021-05-11,한밭,한화,NC,8,0.433,5.5,1,5,30,6,0.5,3.5,-1,5,30,3.0,0.21
2021-05-12,광주,KIA,LG,7,0.452,4.5,1,3,31,5,0.548,1.5,-2,5,31,3.0,0.217
2021-05-12,사직,롯데,SSG,10,0.387,6.5,-2,2,31,2,0.548,1.5,3,5,31,5.0,0.217
2021-05-12,수원,KT,삼성,3,0.548,1.5,2,6,31,1,0.594,0.0,-1,6,32,0.0,0.217
2021-05-12,잠실,두산,키움,4,0.548,1.5,4,7,31,8,0.438,5.0,-3,5,32,0.0,0.217
2021-05-12,한밭,한화,NC,9,0.419,5.5,-1,5,31,6,0.516,2.5,1,6,31,4.0,0.217
2021-05-13,광주,KIA,LG,7,0.469,4.5,2,3,32,6,0.531,2.5,-3,4,32,2.0,0.224
2021-05-13,사직,롯데,SSG,10,0.375,7.5,-3,2,32,2,0.562,1.5,4,6,32,5.0,0.224
2021-05-13,수원,KT,삼성,3,0.531,2.5,-1,5,32,1,0.606,0.0,1,7,33,0.0,0.224
2021-05-13,잠실,두산,키움,4,0.531,2.5,-1,6,32,8,0.455,5.0,1,6,33,0.0,0.224
2021-05-13,한밭,한화,NC,9,0.406,6.5,-2,5,32,5,0.531,2.5,2,6,32,4.0,0.224
2021-05-14,고척,키움,한화,7,0.471,5.0,2,6,34,10,0.394,7.5,-3,4,33,1.5,0.231
2021-05-14,문학,SSG,두산,2,0.545,2.5,-1,6,33,6,0.515,3.5,-2,5,33,-1.0,0.231
2021-05-14,사직,롯데,KT,9,0.394,7.5,1,3,33,5,0.515,3.5,-2,4,33,4.0,0.231
2021-05-14,잠실,LG,삼성,4,0.545,2.5,1,5,33,1,0.618,0.0,2,7,34,-1.0,0.231
2021-05-14,창원,NC,KIA,3,0.545,2.5,3,7,33,8,0.455,5.5,-1,3,33,-1.0,0.231
2021-05-15,고척,키움,한화,7,0.457,5.0,-1,5,35,9,0.412,6.5,1,4,34,2.5,0.237
2021-05-15,문학,SSG,두산,4,0.529,2.5,-2,5,34,6,0.529,2.5,1,6,34,0.0,0.237
2021-05-15,사직,롯데,KT,10,0.382,7.5,-1,3,34,5,0.529,2.5,1,4,34,5.0,0.237
2021-05-15,잠실,LG,삼성,3,0.559,1.5,2,6,34,1,0.6,0.0,-1,6,35,-1.0,0.237
2021-05-15,창원,NC,KIA,2,0.559,1.5,4,8,34,8,0.441,5.5,-2,3,34,-1.0,0.237
2021-05-16,고척,키움,한화,7,0.472,4.0,1,6,36,9,0.4,6.5,-1,3,35,2.0,0.243
2021-05-16,문학,SSG,두산,5,0.529,2.0,-2,5,34,6,0.529,2.0,1,6,34,0.0,0.243
2021-05-16,문학,SSG,두산,5,0.529,2.0,-2,5,34,6,0.529,2.0,1,6,34,0.0,0.243
2021-05-16,사직,롯데,KT,10,0.371,7.5,-2,3,35,4,0.543,1.5,2,4,35,5.5,0.243
2021-05-16,잠실,LG,삼성,3,0.571,0.5,3,7,35,1,0.583,0.0,-2,5,36,-1.5,0.243
2021-05-16,창원,NC,KIA,2,0.571,0.5,5,8,35,8,0.429,5.5,-3,3,35,-1.5,0.243
2021-05-17,문학,SSG,두산,5,0.529,2.0,-2,5,34,6,0.529,2.0,1,6,34,0.0,0.244
2021-05-17,사직,롯데,KT,10,0.371,7.5,-2,3,35,4,0.543,1.5,2,4,35,5.5,0.244
2021-05-17,잠실,LG,삼성,3,0.571,0.5,3,7,35,1,0.583,0.0,-2,5,36,-1.5,0.244
2021-05-17,창원,NC,KIA,2,0.571,0.5,5,8,35,8,0.429,5.5,-3,3,35,-1.5,0.244
2021-05-18,광주,KIA,SSG,8,0.429,6.0,-3,3,35,6,0.514,3.0,-3,5,35,4.0,0.247
2021-05-18,대구,삼성,키움,1,0.595,0.0,1,5,37,7,0.486,4.0,2,6,37,-2.0,0.247
2021-05-18,수원,KT,두산,4,0.543,2.0,2,4,35,5,0.543,2.0,2,6,35,0.0,0.247
2021-05-18,잠실,LG,NC,3,0.556,1.5,-1,6,36,2,0.571,1.0,5,8,35,-0.5,0.247
2021-05-18,한밭,한화,롯데,9,0.389,7.5,-2,3,36,10,0.371,8.0,-2,3,35,5.5,0.247
2021-05-19,광주,KIA,SSG,8,0.417,6.0,-4,2,36,5,0.528,2.0,1,5,36,4.0,0.254
2021-05-19,대구,삼성,키움,1,0.579,0.0,-1,5,38,7,0.5,3.0,3,6,38,-2.0,0.254
2021-05-19,수원,KT,두산,3,0.556,1.0,3,5,36,6,0.528,2.0,-1,6,36,-1.0,0.254
2021-05-19,잠실,LG,NC,2,0.568,0.5,1,6,37,4,0.556,1.0,-1,8,36,-1.5,0.254
2021-05-19,한밭,한화,롯데,10,0.378,7.5,-3,2,37,9,0.389,7.0,1,4,36,5.5,0.254
2021-05-20,광주,KIA,SSG,8,0.405,6.5,-5,2,37,4,0.541,1.5,2,6,37,5.0,0.261
2021-05-20,대구,삼성,키움,3,0.564,0.5,-2,4,39,7,0.513,2.5,4,6,39,-1.0,0.261
2021-05-20,수원,KT,두산,2,0.568,0.5,4,6,37,6,0.514,2.5,-2,6,37,-1.0,0.261
2021-05-20,잠실,LG,NC,1,0.579,0.0,2,6,38,5,0.541,1.5,-2,7,37,-1.5,0.261
2021-05-20,한밭,한화,롯데,9,0.395,7.0,1,3,38,10,0.378,7.5,-1,3,37,5.5,0.261
2021-05-21,고척,키움,NC,7,0.513,2.0,4,6,39,4,0.553,0.5,1,7,38,1.0,0.263
2021-05-21,대구,삼성,KIA,2,0.564,0.0,-2,4,39,8,0.405,6.0,-5,2,37,-1.0,0.263
2021-05-21,문학,SSG,LG,5,0.541,1.0,2,6,37,3,0.564,0.0,-1,5,39,0.0,0.263
2021-05-21,잠실,두산,롯데,6,0.514,2.0,-2,6,37,10,0.378,7.0,-1,3,37,1.0,0.263
2021-05-21,한밭,한화,KT,9,0.395,6.5,1,3,38,1,0.568,0.0,4,6,37,5.5,0.263
2021-05-22,고척,키움,NC,6,0.525,2.0,5,7,40,5,0.538,1.5,-1,6,39,0.5,0.269
2021-05-22,대구,삼성,KIA,1,0.575,0.0,1,5,40,10,0.395,7.0,-6,2,38,-1.5,0.269
2021-05-22,문학,SSG,LG,2,0.553,1.0,3,7,38,4,0.55,1.0,-2,5,40,-0.5,0.269
2021-05-22,잠실,두산,롯데,7,0.5,3.0,-3,5,38,9,0.395,7.0,1,4,38,1.5,0.269
2021-05-22,한밭,한화,KT,8,0.41,6.5,2,4,39,3,0.553,1.0,-1,6,38,5.0,0.269
2021-05-23,고척,키움,NC,4,0.537,1.0,6,8,41,6,0.525,1.5,-2,6,40,0.0,0.276
2021-05-23,대구,삼성,KIA,2,0.561,0.0,-1,4,41,9,0.41,6.0,1,3,39,-1.0,0.276
2021-05-23,문학,SSG,LG,1,0.564,0.0,4,7,39,5,0.537,1.0,-3,5,41,-1.0,0.276
2021-05-23,잠실,두산,롯데,7,0.513,2.0,1,5,39,10,0.385,7.0,-1,3,39,1.0,0.276
2021-05-23,한밭,한화,KT,8,0.425,5.5,3,4,40,3,0.538,1.0,-2,6,39,4.5,0.276
2021-05-25,광주,KIA,키움,9,0.4,7.0,-1,3,40,4,0.548,1.0,7,9,42,5.0,0.283
2021-05-25,사직,롯데,LG,10,0.375,8.0,-2,3,40,6,0.524,2.0,-4,5,42,6.0,0.283
2021-05-25,수원,KT,SSG,3,0.55,1.0,1,6,40,1,0.575,0.0,5,7,40,-1.0,0.283
2021-05-25,잠실,두산,한화,5,0.525,2.0,2,5,40,8,0.415,6.5,-1,4,41,0.0,0.283
2021-05-25,창원,NC,삼성,7,0.512,2.5,-3,5,41,2,0.571,0.0,1,5,42,0.5,0.283
2021-05-26,광주,KIA,키움,9,0.4,7.0,-1,3,40,4,0.548,1.0,7,9,42,5.0,0.283
2021-05-26,사직,롯데,LG,10,0.375,8.0,-2,3,40,6,0.524,2.0,-4,5,42,6.0,0.283
